City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,79.12,88,90,14.97,light rain
1,Busselton,AU,-33.65,115.3333,47.08,86,0,8.08,clear sky
2,Qaanaaq,GL,77.484,-69.3632,40.78,99,100,6.4,light rain
3,Punta Arenas,CL,-53.15,-70.9167,35.62,96,100,1.25,overcast clouds
4,Provideniya,RU,64.3833,-173.3,47.68,98,100,5.66,overcast clouds
5,Saint-Philippe,RE,-21.3585,55.7679,72.95,85,57,18.01,light rain
6,Kavieng,PG,-2.5744,150.7967,83.23,75,48,16.51,scattered clouds
7,Olinda,BR,-8.0089,-34.8553,78.53,65,40,17.27,scattered clouds
8,Ushuaia,AR,-54.8,-68.3,37.06,70,20,0.0,few clouds
9,Puerto Ayora,EC,-0.7393,-90.3518,71.56,74,93,7.11,overcast clouds
10,Khatanga,RU,71.9667,102.5,52.3,66,100,4.03,overcast clouds
11,San Patricio,US,28.017,-97.5169,91.26,55,29,4.38,scattered clouds
12,Castro,BR,-24.7911,-50.0119,59.99,78,90,6.4,moderate rain
13,Vaini,TO,-21.2,-175.2,66.36,82,20,8.05,few clouds
14,Rikitea,PF,-23.1203,-134.9692,74.05,82,97,17.02,light rain
15,Atuona,PF,-9.8,-139.0333,77.7,79,31,16.28,scattered clouds
16,Kalemie,CD,-5.9475,29.1947,78.91,47,11,4.88,few clouds
17,Coahuayana,MX,18.7333,-103.6833,85.48,67,52,2.3,broken clouds
18,Hobart,AU,-42.8794,147.3294,53.46,62,90,5.99,overcast clouds
19,Yellowknife,CA,62.456,-114.3525,59.52,100,75,5.75,light rain
20,Tiksi,RU,71.6872,128.8694,40.05,85,90,6.17,overcast clouds
21,Jamestown,US,42.097,-79.2353,73.29,68,1,6.91,clear sky
22,Turan,VN,16.0678,108.2208,87.85,65,20,3.44,few clouds
23,Isla Vista,US,34.4133,-119.861,67.42,94,90,5.75,fog
24,Bluff,NZ,-46.6,168.3333,44.8,77,96,26.35,overcast clouds
25,Mandal,IN,25.45,74.5667,80.55,66,70,12.26,broken clouds
26,Russkaya Polyana,UA,49.417,31.9201,77.34,43,0,6.08,clear sky
27,Korla,CN,41.7597,86.1469,83.97,25,98,7.78,overcast clouds
28,Inhambane,MZ,-23.865,35.3833,69.78,56,40,13.8,scattered clouds
29,Mwene-Ditu,CD,-7.0,23.45,87.44,25,26,5.1,scattered clouds
30,Bathsheba,BB,13.2167,-59.5167,77.61,88,75,3.44,broken clouds
31,Butaritari,KI,3.0707,172.7902,82.44,74,64,8.9,broken clouds
32,Hermanus,ZA,-34.4187,19.2345,54.97,72,0,15.26,clear sky
33,Kaeo,NZ,-35.1,173.7833,52.32,92,69,6.26,broken clouds
34,Hamilton,US,39.1834,-84.5333,79.56,65,75,1.99,broken clouds
35,Ryotsu,JP,38.0833,138.4333,70.48,91,100,5.5,overcast clouds
36,Kalia,BD,23.0396,89.6328,81.32,88,100,7.7,overcast clouds
37,Nanortalik,GL,60.1432,-45.2371,50.25,90,100,8.28,overcast clouds
38,Harer,ET,9.3094,42.1258,63.66,75,61,8.88,broken clouds
39,Severo-Kurilsk,RU,50.6789,156.125,52.43,87,10,8.43,clear sky
40,Hay River,CA,60.8156,-115.7999,69.78,56,75,12.66,broken clouds
41,Cam Ranh,VN,11.9214,109.1591,82.36,74,20,2.3,few clouds
42,Constitucion,CL,-35.3333,-72.4167,55.06,63,99,3.91,overcast clouds
43,Los Llanos De Aridane,ES,28.6585,-17.9182,74.95,73,20,17.27,few clouds
44,Lebu,CL,-37.6167,-73.65,51.75,72,98,4.61,overcast clouds
45,Puerto Escondido,MX,15.85,-97.0667,86.83,66,1,5.75,clear sky
46,Payakumbuh,ID,-0.2202,100.6308,71.15,98,100,2.48,moderate rain
47,Isangel,VU,-19.55,169.2667,66.78,78,57,14.2,broken clouds
48,Senneterre,CA,48.3835,-77.2328,59.22,75,100,9.73,overcast clouds
49,Port Elizabeth,ZA,-33.918,25.5701,60.1,72,0,12.66,clear sky
50,Kiama,AU,-34.6833,150.8667,54.0,78,1,6.26,clear sky
51,Mataura,NZ,-46.1927,168.8643,44.47,81,99,6.38,overcast clouds
52,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,38,0,4.61,clear sky
53,Prado,BR,-17.3411,-39.2208,77.43,56,18,7.92,few clouds
54,Americus,US,32.0724,-84.2327,90.41,62,1,4.61,clear sky
55,Hasanabad,IR,36.5465,61.0543,91.62,17,0,6.91,clear sky
56,Cape Town,ZA,-33.9258,18.4232,64.81,64,0,1.99,clear sky
57,Reading,GB,51.4562,-0.9711,77.05,58,40,1.01,scattered clouds
58,Barrow,US,71.2906,-156.7887,44.62,87,90,21.85,light rain
59,Cockburn Town,TC,21.4612,-71.1419,82.08,79,96,18.63,overcast clouds
60,Ponta Do Sol,PT,32.6667,-17.1,85.71,68,83,1.21,broken clouds
61,Victoria,HK,22.2855,114.1577,84.25,89,100,1.99,overcast clouds
62,Pisco,PE,-13.7,-76.2167,62.65,82,90,8.05,mist
63,Gao,ML,16.6362,1.637,100.71,23,77,5.32,broken clouds
64,San Cristobal,VE,7.7669,-72.225,75.38,92,100,4.0,overcast clouds
65,Maldonado,UY,-34.6667,-54.9167,58.39,82,100,6.29,overcast clouds
66,Nanakuli,US,21.3906,-158.1547,75.7,78,20,4.61,few clouds
67,Katsuura,JP,35.1333,140.3,71.71,92,100,21.43,light rain
68,Fortuna,US,40.5982,-124.1573,55.98,96,90,0.0,overcast clouds
69,Ribeira Grande,PT,38.5167,-28.7,79.2,73,20,20.71,few clouds
70,Aklavik,CA,68.2191,-135.0107,47.23,87,40,5.75,haze
71,Hithadhoo,MV,-0.6,73.0833,82.02,75,67,15.08,broken clouds
72,Aswan,EG,24.0934,32.907,105.31,11,0,14.0,clear sky
73,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,40,12.66,scattered clouds
74,North Bend,US,43.4065,-124.2243,62.17,88,90,0.0,overcast clouds
75,Ilulissat,GL,69.2167,-51.1,53.62,87,75,8.05,broken clouds
76,Berlevag,NO,70.8578,29.0864,51.1,81,66,11.92,broken clouds
77,Albany,US,42.6001,-73.9662,80.46,72,81,1.99,broken clouds
78,Grimshaw,CA,56.1834,-117.6027,77.02,46,75,12.66,broken clouds
79,Harnosand,SE,62.6323,17.9379,69.01,64,28,12.41,light rain
80,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,88,90,5.75,light intensity drizzle
81,Shimizu,JP,43.0061,142.8847,51.89,92,100,2.15,overcast clouds
82,Saskylakh,RU,71.9167,114.0833,52.0,63,100,4.9,overcast clouds
83,Aksarka,RU,66.5606,67.7975,66.63,76,65,9.4,broken clouds
84,Tarakan,ID,3.3,117.6333,78.3,94,20,2.3,few clouds
85,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,46.99,100,75,2.24,broken clouds
86,Tahta,EG,26.7693,31.5021,100.51,11,0,16.33,clear sky
87,College,US,64.8569,-147.8028,48.52,92,75,3.44,broken clouds
88,Paamiut,GL,61.994,-49.6678,44.78,98,100,17.2,overcast clouds
89,Metro,ID,-5.1131,105.3067,74.84,91,71,3.24,broken clouds
90,Havre-Saint-Pierre,CA,50.2334,-63.5986,77.36,78,75,10.36,broken clouds
91,Suez,EG,29.9737,32.5263,92.35,28,0,20.87,clear sky
92,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.49,75,30,6.15,scattered clouds
93,Caravelas,BR,-17.7125,-39.2481,78.01,54,10,8.08,clear sky
94,Lima,PE,-12.0432,-77.0282,67.89,78,90,3.44,overcast clouds
95,Sur,OM,22.5667,59.5289,89.91,56,35,6.64,scattered clouds
96,Saint George,US,37.1041,-113.5841,91.54,37,1,1.01,clear sky
97,Preobrazheniye,RU,42.9019,133.9064,58.64,79,0,8.14,clear sky
98,Altay,CN,47.8667,88.1167,65.7,46,100,4.07,overcast clouds
99,Arlit,NE,18.7369,7.3853,102.36,20,1,4.68,clear sky
100,Tateyama,JP,34.9833,139.8667,71.62,89,100,26.51,overcast clouds
101,Clyde River,CA,70.4692,-68.5914,41.23,93,90,6.91,mist
102,Andenes,NO,69.3143,16.1194,51.78,76,90,12.66,overcast clouds
103,Hervey Bay,AU,-25.2986,152.8535,60.04,78,5,6.78,clear sky
104,Coihaique,CL,-45.5752,-72.0662,47.01,66,75,4.61,broken clouds
105,Port Augusta,AU,-32.5,137.7667,45.72,61,4,3.36,clear sky
106,Sao Filipe,CV,14.8961,-24.4956,74.98,79,86,1.1,overcast clouds
107,Boguchany,RU,58.3814,97.4531,60.62,99,100,4.74,moderate rain
108,Souillac,MU,-20.5167,57.5167,73.78,78,75,11.5,broken clouds
109,Mahebourg,MU,-20.4081,57.7,73.69,78,75,11.5,broken clouds
110,Sitka,US,57.0531,-135.33,55.29,88,75,6.91,broken clouds
111,Cherskiy,RU,68.75,161.3,43.18,75,74,8.14,broken clouds
112,Esperance,AU,-33.8667,121.9,51.64,79,33,8.3,scattered clouds
113,Pangoa,PE,-12.1167,-73.0,84.45,38,68,4.29,broken clouds
114,Pevek,RU,69.7008,170.3133,36.95,96,100,22.84,light rain
115,Seguela,CI,7.9611,-6.6731,82.4,59,83,5.84,broken clouds
116,Kavaratti,IN,10.5669,72.642,81.36,77,93,18.72,overcast clouds
117,Port Lincoln,AU,-34.7333,135.8667,51.98,64,0,6.73,clear sky
118,Grindavik,IS,63.8424,-22.4338,57.67,82,0,18.41,clear sky
119,Tayga,RU,56.06,85.6197,58.12,87,69,3.38,broken clouds
120,Santo Domingo De Guzman,MX,19.5883,-99.7747,55.98,76,66,3.13,broken clouds
121,San Vicente,AR,-26.6167,-54.1333,69.89,62,70,4.0,broken clouds
122,Sabang,ID,5.8933,95.3214,81.16,77,100,25.14,overcast clouds
123,Verkhnevilyuysk,RU,63.4453,120.3167,58.32,94,97,5.75,light rain
124,Ulcinj,ME,41.9294,19.2244,98.82,41,0,15.48,clear sky
125,Richards Bay,ZA,-28.783,32.0377,58.59,78,100,2.08,overcast clouds
126,Komsomolskiy,UZ,40.4272,71.7189,81.32,26,21,4.61,few clouds
127,Borba,BR,-4.3878,-59.5939,90.59,46,99,2.64,overcast clouds
128,Ashtabula,US,41.7001,-80.7665,77.54,76,1,8.05,clear sky
129,Georgetown,MY,5.4112,100.3354,82.33,85,20,1.14,few clouds
130,Maningrida,AU,-12.0667,134.2667,73.69,69,6,10.22,clear sky
131,Port Lavaca,US,28.615,-96.6261,89.65,75,40,8.05,scattered clouds
132,Bengkulu,ID,-3.8004,102.2655,76.53,91,96,4.79,overcast clouds
133,Kovur,IN,14.4833,79.9833,83.98,63,100,5.55,overcast clouds
134,Flin Flon,CA,54.7682,-101.865,71.44,56,75,5.75,smoke
135,Keokuk,US,40.3973,-91.3849,75.85,73,100,4.61,overcast clouds
136,Raudeberg,NO,61.9875,5.1352,59.67,86,100,2.06,overcast clouds
137,Laguna,US,38.421,-121.4238,85.96,69,1,3.44,haze
138,Ampanihy,MG,-24.7,44.75,61.74,58,47,15.1,scattered clouds
139,Sorland,NO,67.667,12.6934,53.67,75,12,23.15,few clouds
140,Bredasdorp,ZA,-34.5322,20.0403,58.32,55,0,14.97,clear sky
141,Alice Springs,AU,-23.7,133.8833,47.75,43,0,2.3,clear sky
142,Takoradi,GH,4.8845,-1.7554,80.65,65,14,14.72,few clouds
143,Ancud,CL,-41.8697,-73.8203,44.13,73,100,4.18,overcast clouds
144,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,87,90,12.66,overcast clouds
145,Tairua,NZ,-37.0167,175.85,51.1,72,5,9.8,clear sky
146,Thompson,CA,55.7435,-97.8558,62.76,82,75,3.44,broken clouds
147,Udachnyy,RU,66.4167,112.4,50.18,82,100,5.86,overcast clouds
148,Togur,RU,58.3631,82.8265,55.06,84,89,6.49,overcast clouds
149,Farafangana,MG,-22.8167,47.8333,65.86,74,99,13.2,light rain
150,Obo,CF,5.3998,26.4869,72.68,90,93,3.49,light rain
151,San Quintin,MX,30.4833,-115.95,75.13,69,0,11.97,clear sky
152,Iqaluit,CA,63.7506,-68.5145,44.33,81,75,12.66,broken clouds
153,Plettenberg Bay,ZA,-34.0527,23.3716,57.27,78,5,14.27,clear sky
154,Hailar,CN,49.2,119.7,57.72,86,2,6.42,clear sky
155,Zhezkazgan,KZ,47.8043,67.7144,65.57,34,76,15.57,broken clouds
156,Torbay,CA,47.6666,-52.7314,77.76,89,90,9.22,light rain
157,Salym,RU,60.0625,71.4789,62.96,74,5,6.4,clear sky
158,Lepaera,HN,14.7833,-88.5833,74.66,48,87,3.53,overcast clouds
159,Meulaboh,ID,4.1363,96.1285,74.07,94,100,3.58,light rain
160,Mozarlandia,BR,-14.7447,-50.5706,96.57,15,22,6.64,few clouds
161,Norman Wells,CA,65.282,-126.8329,51.84,93,90,8.05,light rain
162,Chapais,CA,49.7834,-74.8492,65.98,54,14,11.23,few clouds
163,Iguape,BR,-24.7081,-47.5553,65.71,89,95,3.15,overcast clouds
164,Nikolskoye,RU,59.7035,30.7861,71.49,86,92,7.78,overcast clouds
165,Olafsvik,IS,64.8945,-23.7142,54.73,79,69,12.55,broken clouds
166,Voznesenskoye,RU,54.89,42.7569,68.11,56,34,1.32,scattered clouds
167,Axim,GH,4.8699,-2.2405,80.04,65,6,10.11,clear sky
168,Dudinka,RU,69.4058,86.1778,54.75,93,67,8.3,broken clouds
169,Hambantota,LK,6.1241,81.1185,82.74,74,75,13.8,broken clouds
170,Pearl River,US,41.059,-74.0218,89.35,70,60,1.01,broken clouds
171,Gizo,SB,-8.103,156.8419,81.82,81,100,12.77,overcast clouds
172,Avera,US,33.194,-82.5271,88.93,53,84,3.78,broken clouds
173,Lata,PT,40.1629,-8.3327,89.35,23,76,9.4,broken clouds
174,Hami,CN,42.8,93.45,92.34,17,65,9.17,broken clouds
175,Cidreira,BR,-30.1811,-50.2056,62.2,83,44,16.78,moderate rain
176,Seryshevo,RU,51.0933,128.3786,60.66,79,3,2.89,clear sky
177,New Norfolk,AU,-42.7826,147.0587,53.1,62,77,4.0,broken clouds
178,Taoudenni,ML,22.6783,-3.9836,114.82,6,26,12.46,scattered clouds
179,East London,ZA,-33.0153,27.9116,58.14,82,20,8.05,few clouds
180,Bubaque,GW,11.2833,-15.8333,78.24,85,100,14.14,overcast clouds
181,Kholmogory,RU,64.2229,41.656,66.31,77,55,3.96,broken clouds
182,Kaitangata,NZ,-46.2817,169.8464,46.38,74,96,13.67,overcast clouds
183,Half Moon Bay,US,37.4636,-122.4286,70.05,89,75,0.0,broken clouds
184,Rudnogorsk,RU,57.2639,103.7519,64.94,74,100,3.38,overcast clouds
185,Chifeng,CN,42.2683,118.9636,66.34,72,100,4.68,overcast clouds
186,Kokopo,PG,-4.352,152.2633,77.13,87,8,7.65,clear sky
187,Balkanabat,TM,39.5108,54.3671,90.9,14,0,14.45,clear sky
188,Yuancheng,CN,36.652,107.7896,65.41,59,4,9.71,clear sky
189,Viedma,AR,-40.8135,-62.9967,63.79,24,0,9.22,clear sky
190,Vrangel,RU,42.7297,133.0839,60.69,82,6,6.8,clear sky
191,Superior,US,46.7208,-92.1041,75.94,48,1,0.0,clear sky
192,Nabire,ID,-3.3667,135.4833,74.84,92,65,3.96,light rain
193,Upernavik,GL,72.7868,-56.1549,46.11,94,100,8.84,overcast clouds
194,Saint-Joseph,RE,-21.3667,55.6167,71.96,86,60,16.82,light rain
195,Carnarvon,AU,-24.8667,113.6333,60.87,42,0,11.5,clear sky
196,Port Blair,IN,11.6667,92.75,80.64,83,75,3.44,mist
197,Saqqez,IR,36.2499,46.2735,83.71,13,24,12.64,few clouds
198,Villarrica,PY,-25.75,-56.4333,77.61,44,9,2.04,clear sky
199,Atbasar,KZ,51.8,68.3333,65.23,44,100,7.9,overcast clouds
200,Zyryanka,RU,65.75,150.85,47.61,90,100,24.67,light rain
201,Saint-Francois,FR,46.4154,3.9054,89.47,56,0,3.44,clear sky
202,Kruisfontein,ZA,-34.0033,24.7314,57.88,77,84,8.63,broken clouds
203,Porto Novo,BJ,6.4965,2.6036,84.02,64,81,11.34,broken clouds
204,Mantua,IT,45.1667,10.7833,101.08,18,0,6.22,clear sky
205,Tezu,IN,27.9167,96.1667,75.42,99,100,2.42,overcast clouds
206,Dingle,PH,10.9995,122.6711,76.44,88,47,3.04,moderate rain
207,Ganzhou,CN,28.8184,115.4327,73.36,96,100,3.06,overcast clouds
208,Kodiak,US,57.79,-152.4072,51.31,58,90,9.22,overcast clouds
209,Wittmund,DE,53.5667,7.7833,73.11,60,75,18.41,broken clouds
210,Avarua,CK,-21.2078,-159.775,69.85,78,75,6.91,broken clouds
211,Touros,BR,-5.1989,-35.4608,86.9,51,37,19.93,scattered clouds
212,Lake Havasu City,US,34.4839,-114.3224,88.41,51,1,1.99,clear sky
213,Dikson,RU,73.5069,80.5464,46.04,100,100,3.74,overcast clouds
214,Tasiilaq,GL,65.6145,-37.6368,48.36,83,29,1.88,scattered clouds
215,Rawatbhata,IN,24.9333,75.5833,79.72,73,95,11.41,overcast clouds
216,Tabou,CI,4.423,-7.3528,79.52,62,67,8.03,broken clouds
217,Galle,LK,6.0367,80.217,79.27,85,87,14.12,overcast clouds
218,Sergeyevka,KZ,53.88,67.4158,65.97,47,53,3.4,broken clouds
219,Hofn,IS,64.2539,-15.2082,53.94,91,100,8.72,overcast clouds
220,Vostok,RU,46.4856,135.8833,56.7,80,87,2.89,overcast clouds
221,Grand-Lahou,CI,5.1367,-5.0242,78.31,70,92,10.31,overcast clouds
222,Svetlaya,RU,46.5389,138.3297,54.12,88,2,5.75,clear sky
